Model,Dataset,Reconstruction,Attack,Average Accuracy
Trad. LeNet,MNIST,None,None,0.9917050323708704
Trad. LeNet,FashionMNIST,None,None,0.8975
Trad. LeNet,EMNIST,None,None,0.8801063829787233
Mod. LeNet,MNIST,None,None,0.9860799285502578
Mod. LeNet,FashionMNIST,None,None,0.8775000000000001
Mod. LeNet,EMNIST,None,None,0.8485638297872339
Trad. LeNet,MNIST,data_original,None,0.9917050323708704
Trad. LeNet,MNIST,data_jpg,None,0.991435867784233
Trad. LeNet,MNIST,data_recon_0,None,0.9912266846626154
Trad. LeNet,MNIST,data_recon_1,None,0.9900616417491618
Trad. LeNet,MNIST,data_recon_2,None,0.9841432152181876
Trad. LeNet,MNIST,data_recon_3,None,0.9501880878098726
Trad. LeNet,MNIST,data_recon_4,None,0.904979300480405
Trad. LeNet,MNIST,data_original,FGSM,0.91714616708577
Trad. LeNet,MNIST,data_jpg,FGSM,0.9027961656884658
Trad. LeNet,MNIST,data_recon_0,FGSM,0.9153627471885846
Trad. LeNet,MNIST,data_recon_1,FGSM,0.911339551420081
Trad. LeNet,MNIST,data_recon_2,FGSM,0.8961703958381901
Trad. LeNet,MNIST,data_recon_3,FGSM,0.8715697161852727
Trad. LeNet,MNIST,data_recon_4,FGSM,0.89071200369878
Trad. LeNet,Fashion_MNIST,data_original,None,0.8958999999999999
Trad. LeNet,Fashion_MNIST,data_jpg,None,0.8960999999999999
Trad. LeNet,Fashion_MNIST,data_recon_0,None,0.6835
Trad. LeNet,Fashion_MNIST,data_recon_1,None,0.5912000000000001
Trad. LeNet,Fashion_MNIST,data_recon_2,None,0.506
Trad. LeNet,Fashion_MNIST,data_recon_3,None,0.4455
Trad. LeNet,Fashion_MNIST,data_recon_4,None,0.2594999999999999
Trad. LeNet,Fashion_MNIST,data_original,FGSM,0.3758
Trad. LeNet,Fashion_MNIST,data_jpg,FGSM,0.358
Trad. LeNet,Fashion_MNIST,data_recon_0,FGSM,0.1616
Trad. LeNet,Fashion_MNIST,data_recon_1,FGSM,0.1122
Trad. LeNet,Fashion_MNIST,data_recon_2,FGSM,0.0816
Trad. LeNet,Fashion_MNIST,data_recon_3,FGSM,0.0796
Trad. LeNet,Fashion_MNIST,data_recon_4,FGSM,0.0068
Trad. LeNet,EMNIST,data_original,None,0.0324468085106383
Trad. LeNet,EMNIST,data_jpg,None,0.0326063829787234
Trad. LeNet,EMNIST,data_recon_0,None,0.029095744680851
Trad. LeNet,EMNIST,data_recon_1,None,0.0302659574468085
Trad. LeNet,EMNIST,data_recon_2,None,0.0358510638297872
Trad. LeNet,EMNIST,data_recon_3,None,0.0437234042553191
Trad. LeNet,EMNIST,data_recon_4,None,0.0343617021276595
Trad. LeNet,EMNIST,data_original,FGSM,0.0077127659574468
Trad. LeNet,EMNIST,data_jpg,FGSM,0.0067553191489361
Trad. LeNet,EMNIST,data_recon_0,FGSM,0.0044148936170212
Trad. LeNet,EMNIST,data_recon_1,FGSM,0.0035106382978723
Trad. LeNet,EMNIST,data_recon_2,FGSM,0.0042021276595744
Trad. LeNet,EMNIST,data_recon_3,FGSM,0.0037234042553191
Trad. LeNet,EMNIST,data_recon_4,FGSM,0.0025531914893617
Mod. LeNet,MNIST,data_original,None,0.98554855638521
Mod. LeNet,MNIST,data_jpg,None,0.985854356785255
Mod. LeNet,MNIST,data_recon_0,None,0.985437187290744
Mod. LeNet,MNIST,data_recon_1,None,0.983434824336524
Mod. LeNet,MNIST,data_recon_2,None,0.975733912834706
Mod. LeNet,MNIST,data_recon_3,None,0.9426764519075862
Mod. LeNet,MNIST,data_recon_4,None,0.902307791511021
Mod. LeNet,MNIST,data_original,FGSM,0.9488451902726828
Mod. LeNet,MNIST,data_jpg,FGSM,0.945658705901556
Mod. LeNet,MNIST,data_recon_0,FGSM,0.9470264783694244
Mod. LeNet,MNIST,data_recon_1,FGSM,0.9464116603881568
Mod. LeNet,MNIST,data_recon_2,FGSM,0.9346235823248396
Mod. LeNet,MNIST,data_recon_3,FGSM,0.9052733942319234
Mod. LeNet,MNIST,data_recon_4,FGSM,0.9011335221446448
Mod. LeNet,Fashion_MNIST,data_original,None,0.8742000000000001
Mod. LeNet,Fashion_MNIST,data_jpg,None,0.8714000000000001
Mod. LeNet,Fashion_MNIST,data_recon_0,None,0.5909
Mod. LeNet,Fashion_MNIST,data_recon_1,None,0.501
Mod. LeNet,Fashion_MNIST,data_recon_2,None,0.4237999999999999
Mod. LeNet,Fashion_MNIST,data_recon_3,None,0.3917
Mod. LeNet,Fashion_MNIST,data_recon_4,None,0.238
Mod. LeNet,Fashion_MNIST,data_original,FGSM,0.5716
Mod. LeNet,Fashion_MNIST,data_jpg,FGSM,0.5536999999999999
Mod. LeNet,Fashion_MNIST,data_recon_0,FGSM,0.2565
Mod. LeNet,Fashion_MNIST,data_recon_1,FGSM,0.1944
Mod. LeNet,Fashion_MNIST,data_recon_2,FGSM,0.1561
Mod. LeNet,Fashion_MNIST,data_recon_3,FGSM,0.1396
Mod. LeNet,Fashion_MNIST,data_recon_4,FGSM,0.0287
Mod. LeNet,EMNIST,data_original,None,0.0292021276595744
Mod. LeNet,EMNIST,data_jpg,None,0.0293617021276595
Mod. LeNet,EMNIST,data_recon_0,None,0.0273404255319148
Mod. LeNet,EMNIST,data_recon_1,None,0.0285106382978723
Mod. LeNet,EMNIST,data_recon_2,None,0.0364893617021276
Mod. LeNet,EMNIST,data_recon_3,None,0.0438297872340425
Mod. LeNet,EMNIST,data_recon_4,None,0.0320744680851063
Mod. LeNet,EMNIST,data_original,FGSM,0.0078723404255319
Mod. LeNet,EMNIST,data_jpg,FGSM,0.0077127659574468
Mod. LeNet,EMNIST,data_recon_0,FGSM,0.0054787234042553
Mod. LeNet,EMNIST,data_recon_1,FGSM,0.0060106382978723
Mod. LeNet,EMNIST,data_recon_2,FGSM,0.0077659574468085
Mod. LeNet,EMNIST,data_recon_3,FGSM,0.0064361702127659
Mod. LeNet,EMNIST,data_recon_4,FGSM,0.005585106382978724
